{'region1': 0, 'region2': 0, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 1, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 1, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 0, 'region4': 1}
{'region1': 1, 'region2': 0, 'region3': 0, 'region4': 1}
{'region1': 1, 'region2': 0, 'region3': 0, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 0, 'region4': 0}
{'region1': 0, 'region2': 1, 'region3': 1, 'region4': 1}
{'region1': 0, 'region2': 1, 'region3': 0, 'region4': 1}
{'region1': 0, 'region2': 1, 'region3': 0, 'region4': 1}
{'region1': 0, 'region2': 1, 'region3': 0, 'region4': 1}
{'region1': 0, 'region2': 1, 'region3': 0, 'region4': 1}
{'region1': 0, 'region2': 1, 'region3': 0, 'region4': 1}
{'region1': 0, 'region2': 1, 'region3': 0, 'region4': 1}
{'region1': 0, 'region2': 1, 'region3': 0, 'region4': 1}
{'region1': 0, 'region2': 1, 'region3': 0, 'region4': 1}
{'region1': 0, 'region2': 0, 'region3': 0, 'region4': 1}
{'region1': 0, 'region2': 1, 'region3': 0, 'region4': 1}
